REGISTRO;CUENTA;CTE;FECHA;DOC;REF;NIT;DETALLE;TIPO;VALOR ;BASE ;CC;TB;PL
1;130505;10;10/31/2017;1;1000;70559229;EJERCICIO PRUEBA;1;11640000.00;-;10;;30
2;135515;10;10/31/2017;1;;70559229;EJERCICIO PRUEBA;1;250000.00;10000000.00;10;;30
3;413595;10;10/31/2017;1;;70559229;EJERCICIO PRUEBA;2;10000000.00;-;10;;30
4;240801;10;10/31/2017;1;;70559229;EJERCICIO PRUEBA;2;1900000.00;10000000.00;10;;30
5;135517;10;10/31/2017;1;;70559229;EJERCICIO PRUEBA;1;10000.00;10000000.00;10;;30
6;130505;10;10/31/2017;2;1001;70559229;EJERCICIO PRUEBA;1;13968000.00;-;10;;30
7;135515;10;10/31/2017;2;;70559229;EJERCICIO PRUEBA;1;300000.00;12000000.00;10;;30
8;413595;10;10/31/2017;2;;70559229;EJERCICIO PRUEBA;2;12000000.00;-;10;;30
9;240801;10;10/31/2017;2;;70559229;EJERCICIO PRUEBA;2;2280000.00;12000000.00;10;;30
10;135517;10;10/31/2017;2;;70559229;EJERCICIO PRUEBA;1;12000.00;12000000.00;10;;30
11;511020;2;10/31/2017;20;;43036791;EJERCICIO PRUEBA;1;10000000.00;;;;
12;236515;2;10/31/2017;20;;43036791;EJERCICIO PRUEBA;2;1100000.00;10000000.00;;;
13;11100501;2;10/31/2017;20;;43036791;EJERCICIO PRUEBA;2;8900000.00;;;;
14;11100501;1;10/31/2017;45;;1207530789;EJERCICIO PRUEBA;1;17952000.00;;;;
15;130505;1;10/31/2017;45;980;1207530789;EJERCICIO PRUEBA;2;17850000.00;;;;
16;130505;1;10/31/2017;45;930;1207530789;EJERCICIO PRUEBA;1;218000.00;;;;
17;130505;1;10/31/2017;45;915;1207530789;EJERCICIO PRUEBA;2;320000.00;;;;
